URL,Organisatietype,Organisatie,Suborganisatie,Afdeling,Bezoeken/mnd,Voldoet,Totaal,IPv6,DNSSEC,HTTPS,CSP,RefPol.,X-Cont.,X-Frame.,Testdatum,Totaal,IPv6,DNSSEC,STARTTLS en DANE,DMARC,DKIM,SPF,Testdatum,Platformgebruik
http://www.logius.nl,Rijksoverheid,BZK,Logius,Informatievoorzieningen,31045,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,,ja,nee,ja,13-2-2023,DICTU Platform (EZK/DICTU)
http://www.scp.nl,Rijksoverheid,VWS,SCP,,28308,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.puurrookvrij.nl,Rijksoverheid,VWS,,Kerndepartement/VGP,27886,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.rekenhulptransitievergoeding.nl,Rijksoverheid,SZW,,DGW/AV,27857,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.ccmo.nl,Overheid,VWS,,Kerndepartement/CCMO,26532,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.royal-house.nl,Overheid,AZ,RVD,CKH,26459,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://overstroomik.nl,Rijksoverheid,IenW,RWS,,26135,ja,nee,nee,ja,nee,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.rijksdienstcn.com,Overheid,BZK,RCN,,25619,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://monumentenregister.cultureelerfgoed.nl,Rijksoverheid,OCW,RCE,,25609,ja,nee,ja,ja,nee,waarschuwing,waarschuwing,ja,ja,21-2-2023,ja,ja,ja,,ja,ja,ja,13-2-2023,
http://aandeslagmetdeomgevingswet.nl,Overheid,BZK,,,25291,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,nee,ja,nee,ja,ja,ja,13-2-2023,
http://www.pbl.nl,Rijksoverheid,IenW,PBL,,24846,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.holandaevoce.nl,Rijksoverheid,BUZA,,,24826,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://waterberichtgeving.rws.nl,Rijksoverheid,IenW,RWS,,24676,ja,nee,nee,ja,nee,waarschuwing,waarschuwing,ja,ja,20-2-2023,nee,ja,ja,,ja,nee,nee,13-2-2023,
http://www.huiselijkgeweld.nl,Rijksoverheid,VWS,,Kerndepartement/DMO,24591,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.nctv.nl,Rijksoverheid,JenV,NCTV,,23905,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://english.rvo.nl,Rijksoverheid,EZK,RVO,,23748,ja,nee,ja,ja,nee,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.toetredingzorgaanbieders.nl,Rijksoverheid,VWS,CIBG,,23390,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,21-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.volkshuisvestingnederland.nl,Rijksoverheid,BZK,,,22938,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,21-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.ctgb.nl,Overheid,LNV,CTGB,,22798,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.uitvoeringvanbeleidszw.nl,Rijksoverheid,SZW,,PSG/DSU/UVB,22595,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.klimaatakkoord.nl,Rijksoverheid,EZK,,DG K&E K,22379,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.diergeneesmiddeleninformatiebank.nl,Overheid,VWS,CBG,,21717,,ja,ja,ja,ja,waarschuwing,waarschuwing,waarschuwing,info,20-2-2023,ja,ja,ja,,ja,,ja,15-2-2023,
http://www.volksgezondheidenzorg.info,Rijksoverheid,VWS,RIVM,,21568,nee,ja,ja,ja,ja,waarschuwing,waarschuwing,waarschuwing,info,20-2-2023,nee,ja,ja,,waarschuwing,nee,nee,13-2-2023,
http://www.lintjes.nl,Overheid,KdNO,,,21101,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
